id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
618,2016,1,05-12-2016,1,7,7,1,normal,0,7,0,7,CH Morris,"Rajiv Gandhi International Stadium, Uppal",K Bharatan,M Erasmus,
619,2016,26,5/13/2016,2,8,2,2,normal,0,8,0,7,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,CK Nandan,
620,2016,5,5/14/2016,5,3,3,1,normal,0,5,144,0,AB de Villiers,M Chinnaswamy Stadium,AY Dandekar,VK Sharma,
621,2016,7,5/14/2016,14,6,14,2,normal,1,6,0,8,YK Pathan,Eden Gardens,A Nand Kishore,BNJ Oxenford,
622,2016,9,5/15/2016,8,1,8,2,normal,0,1,0,7,HM Amla,"Punjab Cricket Association IS Bindra Stadium, Mohali",KN Ananthapadmanabhan,M Erasmus,
623,2016,26,5/15/2016,2,7,7,1,normal,0,2,80,0,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,CK Nandan,
624,2016,7,5/16/2016,6,5,5,1,normal,0,5,0,9,V Kohli,Eden Gardens,CB Gaffaney,A Nand Kishore,
625,2016,26,5/17/2016,7,14,14,1,normal,1,14,19,0,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Nitin Menon,C Shamshuddin,
626,2016,5,5/18/2016,5,8,8,1,normal,1,5,82,0,V Kohli,M Chinnaswamy Stadium,KN Ananthapadmanabhan,M Erasmus,
627,2016,10,5/19/2016,6,3,3,1,normal,0,3,0,6,DR Smith,Green Park,AK Chaudhary,CK Nandan,
628,2016,27,5/20/2016,1,7,7,1,normal,0,7,0,6,KK Nair,Shaheed Veer Narayan Singh International Stadium,A Nand Kishore,BNJ Oxenford,
629,2016,26,5/21/2016,8,14,8,2,normal,0,14,0,4,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,HDPK Dharmasena,Nitin Menon,
630,2016,10,5/21/2016,2,3,3,1,normal,0,3,0,6,SK Raina,Green Park,AK Chaudhary,CK Nandan,
